Sr. No.,UNDERLYING,SYMBOL,token,exch,id
193,Syngene International Limited,SYNGENE,10243,NSE,NSE|10243
194,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,3432,NSE,NSE|3432
195,TVS Motor Company Limited,TVSMOTOR,8479,NSE,NSE|8479
196,Tata Chemicals Limited,TATACHEM,3405,NSE,NSE|3405
197,Tata Communications Limited,TATACOMM,3721,NSE,NSE|3721
198,Tata Consultancy Services Limited,TCS,11536,NSE,NSE|11536
199,Tata Elxsi Limited,TATAELXSI,3411,NSE,NSE|3411
200,Tata Motors Limited,TATAMOTORS,3456,NSE,NSE|3456
201,Tata Power Company Limited,TATAPOWER,3426,NSE,NSE|3426
202,Tata Steel Limited,TATASTEEL,3499,NSE,NSE|3499
203,Tech Mahindra Limited,TECHM,13538,NSE,NSE|13538
204,The Federal Bank Limited,FEDERALBNK,1023,NSE,NSE|1023
205,The Indian Hotels Company Limited,INDHOTEL,1512,NSE,NSE|1512
206,The Ramco Cements Limited,RAMCOCEM,2043,NSE,NSE|2043
207,Titan Company Limited,TITAN,3506,NSE,NSE|3506
208,Torrent Pharmaceuticals Limited,TORNTPHARM,3518,NSE,NSE|3518
209,Trent Limited,TRENT,1964,NSE,NSE|1964
210,Tube Investments of India Limited,TIINDIA,312,NSE,NSE|312
211,UPL Limited,UPL,27294,NSE,NSE|27294
212,UltraTech Cement Limited,ULTRACEMCO,11532,NSE,NSE|11532
213,Union Bank of India,UNIONBANK,10753,NSE,NSE|10753
214,United Breweries Limited,UBL,16713,NSE,NSE|16713
215,United Spirits Limited,UNITDSPR,10447,NSE,NSE|10447
216,Varun Beverages Limited,VBL,18921,NSE,NSE|18921
217,Vedanta Limited,VEDL,3063,NSE,NSE|3063
218,Vodafone Idea Limited,IDEA,17140,NSE,NSE|17140
219,Voltas Limited,VOLTAS,3718,NSE,NSE|3718
220,Wipro Limited,WIPRO,3787,NSE,NSE|3787
221,Yes Bank Limited,YESBANK,11915,NSE,NSE|11915
222,Zomato Limited,ZOMATO,5097,NSE,NSE|5097
223,Zydus Lifesciences Limited,ZYDUSLIFE,7929,NSE,NSE|7929
